,lat,lon,date_for_plot,analysed_spim,plume
19975,46.189998626708984,-1.965000033378601,2025-01-11,3.659999918192625,False
19976,46.189998626708984,-1.9500000476837158,2025-01-11,3.5999999195337296,False
19977,46.189998626708984,-1.934999942779541,2025-01-11,3.5499999206513166,False
19978,46.189998626708984,-1.9199999570846558,2025-01-11,3.609999919310212,False
19979,46.189998626708984,-1.9049999713897705,2025-01-11,3.8199999146163464,False
19980,46.189998626708984,-1.8899999856948853,2025-01-11,3.8599999137222767,False
19981,46.189998626708984,-1.875,2025-01-11,3.7499999161809683,False
19982,46.189998626708984,-1.8600000143051147,2025-01-11,4.009999910369515,False
19983,46.189998626708984,-1.8450000286102295,2025-01-11,4.089999908581376,False
19984,46.189998626708984,-1.8300000429153442,2025-01-11,4.449999900534749,False
19985,46.189998626708984,-1.815000057220459,2025-01-11,4.159999907016754,False
19986,46.189998626708984,-1.7999999523162842,2025-01-11,4.229999905452132,False
19987,46.189998626708984,-1.784999966621399,2025-01-11,4.829999892041087,False
19988,46.189998626708984,-1.7699999809265137,2025-01-11,4.789999892935157,False
19989,46.189998626708984,-1.7549999952316284,2025-01-11,5.429999878630042,False
19990,46.189998626708984,-1.7400000095367432,2025-01-11,5.579999875277281,False
19991,46.189998626708984,-1.725000023841858,2025-01-11,6.34999985806644,False
19992,46.189998626708984,-1.7100000381469727,2025-01-11,6.919999845325947,True
19993,46.189998626708984,-1.6950000524520874,2025-01-11,7.419999834150076,True
19994,46.189998626708984,-1.6799999475479126,2025-01-11,6.989999843761325,True
19995,46.189998626708984,-1.6649999618530273,2025-01-11,6.849999846890569,True
19996,46.189998626708984,-1.649999976158142,2025-01-11,7.239999838173389,True
19997,46.189998626708984,-1.6349999904632568,2025-01-11,7.699999827891588,True
19998,46.189998626708984,-1.6200000047683716,2025-01-11,7.58999983035028,True
19999,46.189998626708984,-1.6050000190734863,2025-01-11,8.47999981045723,True
20000,46.189998626708984,-1.590000033378601,2025-01-11,9.669999783858657,True
20001,46.189998626708984,-1.5750000476837158,2025-01-11,13.539999697357416,True
20002,46.189998626708984,-1.559999942779541,2025-01-11,17.829999601468444,True
20003,46.189998626708984,-1.5449999570846558,2025-01-11,22.779999490827322,True
20004,46.189998626708984,-1.5299999713897705,2025-01-11,32.13999928161502,True
20005,46.189998626708984,-1.5149999856948853,2025-01-11,28.709999358281493,True
20006,46.189998626708984,-1.5,2025-01-11,33.26999925635755,True
20007,46.189998626708984,-1.4850000143051147,2025-01-11,36.499999184161425,True
20008,46.189998626708984,-1.4700000286102295,2025-01-11,33.34999925456941,True
20009,46.189998626708984,-1.4550000429153442,2025-01-11,36.379999186843634,True
20010,46.189998626708984,-1.440000057220459,2025-01-11,,False
20011,46.189998626708984,-1.4249999523162842,2025-01-11,,False
20012,46.189998626708984,-1.409999966621399,2025-01-11,,False
20013,46.189998626708984,-1.3949999809265137,2025-01-11,,False
20014,46.189998626708984,-1.3799999952316284,2025-01-11,,False
20015,46.189998626708984,-1.3650000095367432,2025-01-11,,False
20016,46.189998626708984,-1.350000023841858,2025-01-11,,False
20017,46.189998626708984,-1.3350000381469727,2025-01-11,,False
20018,46.189998626708984,-1.3200000524520874,2025-01-11,,False
20019,46.189998626708984,-1.3049999475479126,2025-01-11,,False
20020,46.189998626708984,-1.2899999618530273,2025-01-11,,False
20021,46.189998626708984,-1.274999976158142,2025-01-11,,True
20022,46.189998626708984,-1.2599999904632568,2025-01-11,56.70999873243272,True
20023,46.189998626708984,-1.2450000047683716,2025-01-11,58.44999869354069,True
20024,46.189998626708984,-1.2300000190734863,2025-01-11,57.97999870404601,True
20025,46.189998626708984,-1.215000033378601,2025-01-11,43.01999903842807,False
20026,46.189998626708984,-1.2000000476837158,2025-01-11,,False
20027,46.189998626708984,-1.184999942779541,2025-01-11,,False
20028,46.189998626708984,-1.1699999570846558,2025-01-11,,False
20029,46.189998626708984,-1.1549999713897705,2025-01-11,,False
20030,46.189998626708984,-1.1399999856948853,2025-01-11,,False
20031,46.189998626708984,-1.125,2025-01-11,,False
20032,46.189998626708984,-1.1100000143051147,2025-01-11,,False
20033,46.189998626708984,-1.0950000286102295,2025-01-11,,False
20034,46.189998626708984,-1.0800000429153442,2025-01-11,,False
20035,46.189998626708984,-1.065000057220459,2025-01-11,,False
20036,46.189998626708984,-1.0499999523162842,2025-01-11,,False
20037,46.189998626708984,-1.034999966621399,2025-01-11,,False
20038,46.189998626708984,-1.0199999809265137,2025-01-11,,False
20039,46.189998626708984,-1.0049999952316284,2025-01-11,,False
20040,46.20000076293945,-3.494999885559082,2025-01-11,0.4899999890476465,False
20041,46.20000076293945,-3.4800000190734863,2025-01-11,0.5299999881535769,False
