,lat,lon,analysed_spim
69,42.5,4.545,0.23999999463558197
70,42.5,4.56,0.20999999530613422
71,42.5,4.575,0.2299999948590994
72,42.5,4.59,0.20999999530613422
73,42.5,4.605,0.2199999950826168
74,42.5,4.62,0.2199999950826168
75,42.5,4.635,0.2199999950826168
76,42.5,4.65,0.2299999948590994
77,42.5,4.665,0.19999999552965164
78,42.5,4.68,0.20999999530613422
79,42.5,4.695,0.19999999552965164
80,42.5,4.71,0.19999999552965164
81,42.5,4.725,0.19999999552965164
82,42.5,4.74,0.20999999530613422
83,42.5,4.755,0.2199999950826168
84,42.5,4.77,0.23999999463558197
85,42.5,4.785,0.23999999463558197
86,42.5,4.8,0.23999999463558197
87,42.5,4.815,0.23999999463558197
88,42.5,4.83,0.24999999441206455
89,42.5,4.845,0.25999999418854713
90,42.5,4.86,0.25999999418854713
91,42.5,4.875,0.2699999939650297
92,42.5,4.89,0.2699999939650297
93,42.5,4.905,0.2799999937415123
94,42.5,4.92,0.2799999937415123
95,42.5,4.935,0.2799999937415123
96,42.5,4.95,0.2899999935179949
97,42.5,4.965,0.2899999935179949
98,42.5,4.98,0.2899999935179949
99,42.5,4.995,0.2899999935179949
100,42.5,5.01,0.2899999935179949
101,42.5,5.025,0.2799999937415123
102,42.5,5.04,0.2899999935179949
103,42.5,5.055,0.29999999329447746
104,42.5,5.07,0.29999999329447746
105,42.5,5.085,0.29999999329447746
106,42.5,5.1,0.29999999329447746
107,42.5,5.115,0.30999999307096004
108,42.5,5.13,0.2899999935179949
109,42.5,5.145,0.29999999329447746
110,42.5,5.16,0.2899999935179949
111,42.5,5.175,0.2799999937415123
112,42.5,5.19,0.2799999937415123
113,42.5,5.205,0.2699999939650297
114,42.5,5.22,0.2699999939650297
115,42.5,5.235,0.2699999939650297
116,42.5,5.25,0.25999999418854713
117,42.5,5.265,0.2699999939650297
118,42.5,5.28,0.2699999939650297
119,42.5,5.295,0.2699999939650297
120,42.5,5.31,0.2699999939650297
121,42.5,5.325,0.2699999939650297
122,42.5,5.34,0.25999999418854713
123,42.5,5.355,0.24999999441206455
124,42.5,5.37,0.25999999418854713
125,42.5,5.385,0.25999999418854713
126,42.5,5.4,0.2699999939650297
127,42.5,5.415,0.2699999939650297
128,42.5,5.43,0.2899999935179949
129,42.5,5.445,0.29999999329447746
130,42.5,5.46,0.30999999307096004
131,42.5,5.475,0.30999999307096004
132,42.5,5.49,0.30999999307096004
133,42.51,3.51,0.3399999924004078
134,42.51,3.525,0.35999999195337296
135,42.51,3.54,0.3499999921768904
136,42.51,3.555,0.35999999195337296
137,42.51,3.57,0.36999999172985554
138,42.51,3.585,0.36999999172985554
139,42.51,3.6,0.3899999912828207
140,42.51,3.615,0.3999999910593033
141,42.51,3.63,0.3999999910593033
142,42.51,3.645,0.3999999910593033
143,42.51,3.66,0.40999999083578587
144,42.51,3.675,0.40999999083578587
145,42.51,3.69,0.40999999083578587
146,42.51,3.705,0.3199999928474426
147,42.51,3.72,0.25999999418854713
148,42.51,3.735,0.1599999964237213
149,42.51,3.75,0.1599999964237213
150,42.51,3.765,0.13999999687075615
151,42.51,3.78,0.13999999687075615
152,42.51,3.795,0.14999999664723873
153,42.51,3.81,0.14999999664723873
154,42.51,3.825,0.14999999664723873
155,42.51,3.84,0.1599999964237213
156,42.51,3.855,0.1699999962002039
157,42.51,3.87,0.19999999552965164
158,42.51,3.885,0.2199999950826168
159,42.51,3.9,0.2199999950826168
160,42.51,3.915,0.2299999948590994
161,42.51,3.93,0.23999999463558197
162,42.51,3.945,0.24999999441206455
163,42.51,3.96,0.25999999418854713
164,42.51,3.975,0.25999999418854713
165,42.51,3.99,0.2699999939650297
166,42.51,4.005,0.2699999939650297
167,42.51,4.02,0.2799999937415123
168,42.51,4.035,0.2799999937415123
169,42.51,4.05,0.2799999937415123
170,42.51,4.065,0.2899999935179949
171,42.51,4.08,0.29999999329447746
172,42.51,4.095,0.2799999937415123
173,42.51,4.11,0.2799999937415123
174,42.51,4.125,0.2799999937415123
175,42.51,4.14,0.2899999935179949
176,42.51,4.155,0.2899999935179949
177,42.51,4.17,0.2799999937415123
178,42.51,4.185,0.2799999937415123
179,42.51,4.2,0.2799999937415123
180,42.51,4.215,0.2799999937415123
181,42.51,4.23,0.2799999937415123
182,42.51,4.245,0.2699999939650297
183,42.51,4.26,0.25999999418854713
184,42.51,4.275,0.25999999418854713
185,42.51,4.29,0.25999999418854713
186,42.51,4.305,0.24999999441206455
187,42.51,4.32,0.25999999418854713
188,42.51,4.335,0.2699999939650297
189,42.51,4.35,0.2699999939650297
190,42.51,4.365,0.2799999937415123
191,42.51,4.38,0.2699999939650297
192,42.51,4.395,0.2699999939650297
193,42.51,4.41,0.25999999418854713
194,42.51,4.425,0.25999999418854713
195,42.51,4.44,0.25999999418854713
196,42.51,4.455,0.2699999939650297
197,42.51,4.47,0.25999999418854713
198,42.51,4.485,0.25999999418854713
199,42.51,4.5,0.24999999441206455
200,42.51,4.515,0.24999999441206455
201,42.51,4.53,0.23999999463558197
202,42.51,4.545,0.24999999441206455
203,42.51,4.56,0.25999999418854713
204,42.51,4.575,0.25999999418854713
205,42.51,4.59,0.23999999463558197
206,42.51,4.605,0.2299999948590994
207,42.51,4.62,0.23999999463558197
208,42.51,4.635,0.2299999948590994
209,42.51,4.65,0.23999999463558197
210,42.51,4.665,0.20999999530613422
211,42.51,4.68,0.19999999552965164
212,42.51,4.695,0.20999999530613422
213,42.51,4.71,0.19999999552965164
214,42.51,4.725,0.19999999552965164
215,42.51,4.74,0.20999999530613422
216,42.51,4.755,0.2299999948590994
217,42.51,4.77,0.23999999463558197
218,42.51,4.785,0.23999999463558197
219,42.51,4.8,0.23999999463558197
220,42.51,4.815,0.24999999441206455
221,42.51,4.83,0.24999999441206455
222,42.51,4.845,0.2699999939650297
223,42.51,4.86,0.2699999939650297
224,42.51,4.875,0.2699999939650297
225,42.51,4.89,0.2799999937415123
226,42.51,4.905,0.2799999937415123
227,42.51,4.92,0.2799999937415123
228,42.51,4.935,0.2899999935179949
229,42.51,4.95,0.2899999935179949
230,42.51,4.965,0.2899999935179949
231,42.51,4.98,0.2899999935179949
232,42.51,4.995,0.2899999935179949
233,42.51,5.01,0.2799999937415123
234,42.51,5.025,0.2899999935179949
235,42.51,5.04,0.2899999935179949
236,42.51,5.055,0.2899999935179949
237,42.51,5.07,0.29999999329447746
238,42.51,5.085,0.29999999329447746
239,42.51,5.1,0.29999999329447746
240,42.51,5.115,0.29999999329447746
241,42.51,5.13,0.2899999935179949
242,42.51,5.145,0.2799999937415123
243,42.51,5.16,0.2899999935179949
244,42.51,5.175,0.2799999937415123
245,42.51,5.19,0.2799999937415123
246,42.51,5.205,0.2699999939650297
247,42.51,5.22,0.25999999418854713
248,42.51,5.235,0.2699999939650297
249,42.51,5.25,0.2699999939650297
250,42.51,5.265,0.2699999939650297
251,42.51,5.28,0.2799999937415123
252,42.51,5.295,0.2799999937415123
253,42.51,5.31,0.2699999939650297
254,42.51,5.325,0.25999999418854713
255,42.51,5.34,0.24999999441206455
256,42.51,5.355,0.25999999418854713
257,42.51,5.37,0.24999999441206455
258,42.51,5.385,0.25999999418854713
259,42.51,5.4,0.2699999939650297
260,42.51,5.415,0.2799999937415123
261,42.51,5.43,0.2899999935179949
262,42.51,5.445,0.30999999307096004
263,42.51,5.46,0.29999999329447746
264,42.51,5.475,0.29999999329447746
265,42.51,5.49,0.2899999935179949
266,42.52,3.51,0.3499999921768904
267,42.52,3.525,0.36999999172985554
268,42.52,3.54,0.2699999939650297
269,42.52,3.555,0.29999999329447746
270,42.52,3.57,0.35999999195337296
271,42.52,3.585,0.3799999915063381
272,42.52,3.6,0.3899999912828207
273,42.52,3.615,0.3899999912828207
274,42.52,3.63,0.3899999912828207
275,42.52,3.645,0.3899999912828207
276,42.52,3.66,0.3899999912828207
277,42.52,3.675,0.40999999083578587
278,42.52,3.69,0.40999999083578587
279,42.52,3.705,0.3199999928474426
280,42.52,3.72,0.25999999418854713
281,42.52,3.735,0.14999999664723873
282,42.52,3.75,0.1599999964237213
283,42.52,3.765,0.13999999687075615
284,42.52,3.78,0.12999999709427357
285,42.52,3.795,0.13999999687075615
286,42.52,3.81,0.14999999664723873
287,42.52,3.825,0.13999999687075615
288,42.52,3.84,0.1599999964237213
289,42.52,3.855,0.1699999962002039
290,42.52,3.87,0.18999999575316906
291,42.52,3.885,0.19999999552965164
292,42.52,3.9,0.20999999530613422
293,42.52,3.915,0.19999999552965164
294,42.52,3.93,0.2199999950826168
295,42.52,3.945,0.23999999463558197
296,42.52,3.96,0.23999999463558197
297,42.52,3.975,0.24999999441206455
298,42.52,3.99,0.25999999418854713
299,42.52,4.005,0.25999999418854713
300,42.52,4.02,0.25999999418854713
301,42.52,4.035,0.2699999939650297
302,42.52,4.05,0.2899999935179949
303,42.52,4.065,0.2899999935179949
304,42.52,4.08,0.2899999935179949
305,42.52,4.095,0.2899999935179949
306,42.52,4.11,0.2899999935179949
307,42.52,4.125,0.2899999935179949
308,42.52,4.14,0.2899999935179949
309,42.52,4.155,0.2799999937415123
310,42.52,4.17,0.2799999937415123
311,42.52,4.185,0.2699999939650297
312,42.52,4.2,0.2799999937415123
313,42.52,4.215,0.2899999935179949
314,42.52,4.23,0.2799999937415123
315,42.52,4.245,0.2799999937415123
316,42.52,4.26,0.25999999418854713
317,42.52,4.275,0.25999999418854713
318,42.52,4.29,0.25999999418854713
319,42.52,4.305,0.23999999463558197
320,42.52,4.32,0.24999999441206455
321,42.52,4.335,0.25999999418854713
322,42.52,4.35,0.25999999418854713
323,42.52,4.365,0.2699999939650297
324,42.52,4.38,0.25999999418854713
325,42.52,4.395,0.25999999418854713
326,42.52,4.41,0.25999999418854713
327,42.52,4.425,0.25999999418854713
328,42.52,4.44,0.25999999418854713
329,42.52,4.455,0.25999999418854713
330,42.52,4.47,0.25999999418854713
331,42.52,4.485,0.25999999418854713
332,42.52,4.5,0.25999999418854713
333,42.52,4.515,0.24999999441206455
334,42.52,4.53,0.24999999441206455
335,42.52,4.545,0.23999999463558197
336,42.52,4.56,0.2699999939650297
337,42.52,4.575,0.2699999939650297
338,42.52,4.59,0.23999999463558197
339,42.52,4.605,0.2199999950826168
340,42.52,4.62,0.2699999939650297
341,42.52,4.635,0.24999999441206455
342,42.52,4.65,0.2299999948590994
343,42.52,4.665,0.19999999552965164
344,42.52,4.68,0.20999999530613422
345,42.52,4.695,0.20999999530613422
346,42.52,4.71,0.2199999950826168
347,42.52,4.725,0.20999999530613422
348,42.52,4.74,0.2199999950826168
349,42.52,4.755,0.23999999463558197
350,42.52,4.77,0.23999999463558197
351,42.52,4.785,0.23999999463558197
352,42.52,4.8,0.23999999463558197
353,42.52,4.815,0.23999999463558197
354,42.52,4.83,0.25999999418854713
355,42.52,4.845,0.2699999939650297
356,42.52,4.86,0.2799999937415123
357,42.52,4.875,0.2799999937415123
358,42.52,4.89,0.2799999937415123
359,42.52,4.905,0.2699999939650297
360,42.52,4.92,0.2899999935179949
361,42.52,4.935,0.29999999329447746
362,42.52,4.95,0.2899999935179949
363,42.52,4.965,0.2899999935179949
364,42.52,4.98,0.2899999935179949
365,42.52,4.995,0.29999999329447746
366,42.52,5.01,0.2899999935179949
367,42.52,5.025,0.2899999935179949
368,42.52,5.04,0.2899999935179949
369,42.52,5.055,0.2899999935179949
370,42.52,5.07,0.2899999935179949
371,42.52,5.085,0.29999999329447746
372,42.52,5.1,0.29999999329447746
373,42.52,5.115,0.29999999329447746
374,42.52,5.13,0.2899999935179949
375,42.52,5.145,0.2899999935179949
376,42.52,5.16,0.2899999935179949
377,42.52,5.175,0.2799999937415123
378,42.52,5.19,0.2699999939650297
379,42.52,5.205,0.2699999939650297
380,42.52,5.22,0.2699999939650297
381,42.52,5.235,0.2699999939650297
382,42.52,5.25,0.2699999939650297
383,42.52,5.265,0.2799999937415123
384,42.52,5.28,0.2899999935179949
385,42.52,5.295,0.2899999935179949
386,42.52,5.31,0.2799999937415123
387,42.52,5.325,0.2699999939650297
388,42.52,5.34,0.25999999418854713
389,42.52,5.355,0.24999999441206455
390,42.52,5.37,0.24999999441206455
391,42.52,5.385,0.25999999418854713
392,42.52,5.4,0.2799999937415123
393,42.52,5.415,0.2899999935179949
394,42.52,5.43,0.2899999935179949
395,42.52,5.445,0.30999999307096004
396,42.52,5.46,0.29999999329447746
397,42.52,5.475,0.2899999935179949
398,42.52,5.49,0.2899999935179949
399,42.53,3.51,0.3199999928474426
400,42.53,3.525,0.3499999921768904
401,42.53,3.54,0.2899999935179949
402,42.53,3.555,0.2799999937415123
403,42.53,3.57,0.35999999195337296
404,42.53,3.585,0.3299999926239252
405,42.53,3.6,0.3499999921768904
406,42.53,3.615,0.36999999172985554
407,42.53,3.63,0.3899999912828207
408,42.53,3.645,0.3899999912828207
409,42.53,3.66,0.3899999912828207
410,42.53,3.675,0.3899999912828207
411,42.53,3.69,0.3999999910593033
412,42.53,3.705,0.3199999928474426
413,42.53,3.72,0.2699999939650297
414,42.53,3.735,0.14999999664723873
415,42.53,3.75,0.1699999962002039
416,42.53,3.765,0.14999999664723873
417,42.53,3.78,0.12999999709427357
418,42.53,3.795,0.13999999687075615
419,42.53,3.81,0.12999999709427357
420,42.53,3.825,0.13999999687075615
421,42.53,3.84,0.1599999964237213
422,42.53,3.855,0.1699999962002039
423,42.53,3.87,0.18999999575316906
424,42.53,3.885,0.19999999552965164
425,42.53,3.9,0.19999999552965164
426,42.53,3.915,0.18999999575316906
427,42.53,3.93,0.19999999552965164
428,42.53,3.945,0.2199999950826168
429,42.53,3.96,0.23999999463558197
430,42.53,3.975,0.25999999418854713
