,longitude,latitude
769,5.13,43.225
770,5.145,43.225
771,5.16,43.205
772,5.175,43.205
773,5.19,43.205
774,5.205,43.205
775,5.22,43.184998
776,5.235,43.184998
777,5.25,43.184998
778,5.265,43.184998
779,5.28,43.165
780,5.295,43.165
781,5.31,43.165
782,5.325,43.165
783,5.34,43.145
784,5.355,43.145
785,5.37,43.145
786,5.385,43.145
787,5.4,43.125
788,5.415,43.125
789,5.43,43.125
790,5.445,43.125
791,5.46,43.105
792,5.475,43.105
793,5.49,43.105
794,5.505,43.105
795,5.52,43.085
796,5.535,43.085
797,5.55,43.085
798,5.565,43.085
799,5.58,43.065002
800,4.845,43.325
801,4.86,43.325
802,4.875,43.325
803,4.89,43.325
804,4.905,43.325
805,4.92,43.325
806,4.935,43.325
807,4.95,43.325
808,4.965,43.325
809,4.98,43.325
810,4.995,43.325
811,5.01,43.325
812,5.025,43.325
813,5.04,43.325
814,5.055,43.325
815,5.07,43.325
816,5.085,43.325
817,5.1,43.325
818,5.115,43.325
819,5.13,43.325
820,5.145,43.325
821,5.16,43.325
822,5.175,43.325
823,5.19,43.325
824,5.205,43.325
825,5.22,43.325
826,5.235,43.325
827,5.25,43.325
828,5.265,43.325
829,5.28,43.325
830,5.295,43.325
831,5.31,43.325
832,5.325,43.325
833,5.34,43.325
834,5.355,43.325
835,5.37,43.325
836,5.385,43.325
837,5.4,43.325
838,5.415,43.325
839,5.43,43.325
840,5.445,43.325
841,5.46,43.325
842,5.475,43.325
843,5.49,43.325
844,5.505,43.325
845,5.52,43.325
846,5.535,43.325
847,5.55,43.325
848,5.565,43.325
849,5.58,43.325
