,lat,lon,analysed_spim,plume
506,49.17,1.77,,False
507,49.17,1.785,,False
508,49.17,1.8,,False
509,49.17,1.815,,False
510,49.17,1.83,,False
511,49.17,1.845,,False
512,49.17,1.86,,False
513,49.17,1.875,,False
514,49.17,1.89,,False
515,49.17,1.905,,False
516,49.17,1.92,,False
517,49.17,1.935,,False
518,49.17,1.95,,False
519,49.17,1.965,,False
520,49.17,1.98,,False
521,49.17,1.995,,False
569,49.18,-1.5,,False
570,49.18,-1.485,,False
571,49.18,-1.47,,False
572,49.18,-1.455,,False
573,49.18,-1.44,,False
574,49.18,-1.425,,False
575,49.18,-1.41,,False
576,49.18,-1.395,,False
577,49.18,-1.38,,False
578,49.18,-1.365,,False
579,49.18,-1.35,,False
580,49.18,-1.335,,False
581,49.18,-1.32,,False
582,49.18,-1.305,,False
583,49.18,-1.29,,False
584,49.18,-1.275,,False
585,49.18,-1.26,,False
586,49.18,-1.245,,False
587,49.18,-1.23,,False
588,49.18,-1.215,,False
589,49.18,-1.2,,False
590,49.18,-1.185,,False
591,49.18,-1.17,,False
592,49.18,-1.155,,False
593,49.18,-1.14,,False
594,49.18,-1.125,,False
595,49.18,-1.11,,False
596,49.18,-1.095,,False
597,49.18,-1.08,,False
598,49.18,-1.065,,False
599,49.18,-1.05,,False
600,49.18,-1.035,,False
601,49.18,-1.02,,False
602,49.18,-1.005,,False
603,49.18,-0.99,,False
604,49.18,-0.975,,False
605,49.18,-0.96,,False
606,49.18,-0.945,,False
607,49.18,-0.93,,False
608,49.18,-0.915,,False
609,49.18,-0.9,,False
610,49.18,-0.885,,False
611,49.18,-0.87,,False
612,49.18,-0.855,,False
613,49.18,-0.84,,False
614,49.18,-0.825,,False
615,49.18,-0.81,,False
616,49.18,-0.795,,False
617,49.18,-0.78,,False
618,49.18,-0.765,,False
619,49.18,-0.75,,False
620,49.18,-0.735,,False
621,49.18,-0.72,,False
622,49.18,-0.705,,False
623,49.18,-0.69,,False
624,49.18,-0.675,,False
625,49.18,-0.66,,False
626,49.18,-0.645,,False
627,49.18,-0.63,,False
628,49.18,-0.615,,False
629,49.18,-0.6,,False
630,49.18,-0.585,,False
631,49.18,-0.57,,False
632,49.18,-0.555,,False
633,49.18,-0.54,,False
634,49.18,-0.525,,False
635,49.18,-0.51,,False
636,49.18,-0.495,,False
637,49.18,-0.48,,False
638,49.18,-0.465,,False
639,49.18,-0.45,,False
640,49.18,-0.435,,False
641,49.18,-0.42,,False
642,49.18,-0.405,,False
643,49.18,-0.39,,False
644,49.18,-0.375,,False
645,49.18,-0.36,,False
646,49.18,-0.345,,False
647,49.18,-0.33,,False
648,49.18,-0.315,,False
649,49.18,-0.3,,False
650,49.18,-0.285,,False
651,49.18,-0.27,,False
652,49.18,-0.255,,False
653,49.18,-0.24,,False
654,49.18,-0.225,,False
655,49.18,-0.21,,False
656,49.18,-0.195,,False
657,49.18,-0.18,,False
658,49.18,-0.165,,False
659,49.18,-0.15,,False
660,49.18,-0.135,,False
661,49.18,-0.12,,False
662,49.18,-0.105,,False
663,49.18,-0.09,,False
664,49.18,-0.075,,False
665,49.18,-0.06,,False
666,49.18,-0.045,,False
667,49.18,-0.03,,False
668,49.18,-0.015,,False
669,49.18,0.0,,False
670,49.18,0.015,,False
671,49.18,0.03,,False
672,49.18,0.045,,False
673,49.18,0.06,,False
674,49.18,0.075,,False
675,49.18,0.09,,False
