,longitude,latitude,distance_km,analysed_spim,kept
227,4.77,43.15,19.823410994239524,8.649999806657434,True
228,4.77,43.14,20.88244833320199,6.729999849572778,True
229,4.77,43.13,21.946504190531375,5.6099998746067286,True
230,4.77,43.12,23.014882507521484,5.0599998869001865,True
231,4.755,43.11,24.42270395774772,4.459999900311232,True
232,4.755,43.1,25.483935821718877,3.539999920874834,True
233,4.755,43.09,26.54914074272524,2.659999940544367,False
234,4.755,43.08,27.617859009025782,1.8799999579787254,False
235,4.74,43.07,29.023164870768962,1.4499999675899744,False
236,4.74,43.06,30.085878861833567,1.2599999718368053,False
237,4.74,43.05,31.151877752646897,1.2499999720603228,False
238,4.74,43.04,32.22083551053008,1.2499999720603228,False
239,4.725,43.03,33.624314342015815,1.0799999758601189,False
240,4.845,43.32,0.0,11.429999744519591,True
241,4.845,43.31,1.1098136901855469,12.339999724179506,True
242,4.845,43.3,2.2196273803710938,14.279999680817127,True
243,4.845,43.29,3.3294410705566406,19.20999957062304,True
244,4.845,43.28,4.4392547607421875,21.479999519884586,True
245,4.845,43.27,5.549068450927734,24.079999461770058,True
246,4.845,43.26,6.658882141113281,23.909999465569854,True
247,4.845,43.25,7.768695831298828,21.059999529272318,True
248,4.845,43.24,8.878509521484375,21.059999529272318,True
249,4.845,43.23,9.988323211669922,22.199999503791332,True
250,4.845,43.22,11.098136901855469,22.129999505355954,True
251,4.845,43.21,12.207950592041016,20.769999535754323,True
252,4.845,43.2,13.317764282226562,16.899999622255564,True
253,4.845,43.19,14.42757797241211,13.529999697580934,True
254,4.845,43.18,15.537391662597656,10.29999976977706,True
255,4.845,43.17,16.647205352783203,8.729999804869294,True
256,4.845,43.16,17.75701904296875,7.6699998285621405,True
257,4.845,43.15,18.866832733154297,6.889999845996499,True
258,4.845,43.14,19.976646423339844,6.559999853372574,True
259,4.845,43.13,21.08646011352539,6.189999861642718,True
260,4.845,43.12,22.196273803710938,5.859999869018793,True
261,4.845,43.11,23.306087493896484,5.399999879300594,True
262,4.845,43.1,24.41590118408203,4.829999892041087,True
263,4.845,43.09,25.525714874267578,4.3899999018758535,True
264,4.845,43.08,26.635528564453125,4.049999909475446,False
265,4.845,43.07,27.745342254638672,3.899999912828207,False
266,4.845,43.06,28.85515594482422,3.8199999146163464,False
267,4.845,43.05,29.964969635009766,3.729999916628003,False
268,4.845,43.04,31.074783325195312,3.67999991774559,False
269,4.845,43.03,32.18459701538086,3.659999918192625,False
270,4.845,43.32,0.0,11.429999744519591,True
271,4.845,43.31,1.1098136901855469,12.339999724179506,True
272,4.845,43.3,2.2196273803710938,14.279999680817127,True
273,4.845,43.29,3.3294410705566406,19.20999957062304,True
274,4.86,43.28,4.602976501504297,25.44999943114817,True
275,4.86,43.27,5.680895221328245,23.34999947808683,True
276,4.86,43.26,6.7691300188329935,22.469999497756362,True
277,4.86,43.25,7.863399059049995,21.049999529495835,True
278,4.875,43.24,9.205953003008593,19.08999957330525,True
279,4.875,43.23,10.280478585712748,18.85999957844615,True
280,4.875,43.22,11.36179044265649,17.84999960102141,True
281,4.875,43.21,12.448120220669015,15.75999964773655,True
282,4.89,43.2,13.808929504512891,11.34999974630773,True
283,4.89,43.19,14.882160284504671,9.259999793022871,True
284,4.89,43.18,15.960395617296465,8.219999816268682,True
285,4.89,43.17,17.042685663984734,7.369999835267663,True
286,4.905,43.16,18.411906006017187,6.489999854937196,True
287,4.905,43.15,19.48445367114201,6.369999857619405,True
288,4.905,43.14,20.560957171425496,6.099999863654375,True
289,4.905,43.13,21.64082617649692,5.879999868571758,True
290,4.92,43.12,23.014882507521484,5.489999877288938,True
291,4.92,43.11,24.08700812344431,5.22999988310039,True
292,4.92,43.1,25.162402045444157,5.029999887570739,True
293,4.92,43.09,26.24066245177738,4.8699998911470175,True
294,4.935,43.08,27.617859009025782,4.559999898076057,True
295,4.935,43.07,28.68969799704532,4.5099998991936445,True
296,4.935,43.06,29.764320569009342,4.429999900981784,True
297,4.935,43.05,30.841435757138246,4.339999902993441,True
298,4.95,43.04,32.22083551053008,3.689999917522073,False
299,4.95,43.03,33.292467125931985,3.5599999204277992,False
300,4.845,43.32,0.0,11.429999744519591,True
301,4.845,43.31,1.1098136901855469,12.339999724179506,True
302,4.86,43.3,2.5312359728641667,16.369999634101987,True
303,4.86,43.29,3.5447972699348984,21.02999952994287,True
304,4.875,43.28,5.062471945728333,26.01999941840768,True
305,4.875,43.27,6.059191368788063,22.719999492168427,True
306,4.89,43.26,7.5937079185925,19.499999564141035,True
307,4.89,43.25,8.583491335284078,17.54999960772693,True
308,4.905,43.24,10.124943891456667,14.959999665617943,False
309,4.905,43.23,11.110947667181279,13.769999692216516,True
310,4.92,43.22,12.656179864320833,11.169999750331044,True
311,4.92,43.21,13.63980585358269,10.479999765753746,True
312,4.935,43.2,15.187415837185,9.039999797940254,True
313,4.935,43.19,16.16940816742095,8.359999813139439,True
314,4.95,43.18,17.718651810049167,7.819999825209379,True
315,4.95,43.17,18.699452621575134,7.469999833032489,True
316,4.965,43.16,20.249887782913333,7.159999839961529,True
317,4.965,43.15,21.22978114133658,6.819999847561121,True
318,4.98,43.14,22.7811237557775,6.179999861866236,True
319,4.98,43.13,23.76030297307277,5.7299998719245195,True
320,4.995,43.12,25.312359728641667,4.999999888241291,True
321,4.995,43.11,26.29096229764164,4.669999895617366,True
322,5.01,43.1,27.843595701505834,4.25999990478158,True
323,5.01,43.09,28.821722897850172,4.099999908357859,True
324,5.025,43.08,30.37483167437,3.089999930933118,True
325,5.025,43.07,31.3525602489741,2.419999945908785,False
326,5.04,43.06,32.90606764723417,0.9499999787658453,False
327,5.04,43.05,33.88345715288338,0.6799999848008156,False
328,5.055,43.04,35.437303620098334,0.3499999921768904,False
329,5.055,43.03,36.41440119235329,0.36999999172985554,False
330,4.845,43.32,0.0,11.429999744519591,True
331,4.845,43.31,1.1098136901855469,12.339999724179506,True
332,4.86,43.3,2.5312359728641667,16.369999634101987,True
333,4.875,43.29,4.123932251240749,25.569999428465962,True
334,4.89,43.28,5.74723163048343,22.529999496415257,True
335,4.89,43.27,6.641976306547515,21.389999521896243,True
336,4.905,43.26,8.247864502481498,18.039999596774578,True
337,4.92,43.25,9.867263094949571,14.959999665617943,False
338,4.935,43.24,11.49446326096686,12.81999971345067,True
339,4.935,43.23,12.371796753722247,11.399999745190144,True
340,4.95,43.22,13.989593453032349,10.56999976374209,True
341,4.965,43.21,15.61346494491029,10.039999775588512,True
342,4.98,43.2,17.24169489145029,9.249999793246388,True
343,4.98,43.19,18.112653129868757,8.449999811127782,True
344,4.995,43.18,19.734526189899142,7.419999834150076,True
345,5.01,43.17,21.360220902785382,6.769999848678708,True
346,5.025,43.16,22.98892652193372,5.949999867007136,True
347,5.025,43.15,23.856579694485443,5.639999873936176,True
348,5.04,43.14,25.480495790454377,5.049999887123704,True
349,5.055,43.13,27.107178556140717,4.449999900534749,True
350,5.07,43.12,28.736158152417147,3.5499999206513166,True
351,5.07,43.11,29.601789284848717,3.009999932721257,True
352,5.085,43.1,31.22692988982058,1.4799999669194221,False
353,5.1,43.09,32.85423206166991,0.5599999874830246,False
354,5.115,43.08,34.48338978290058,0.3999999910593033,False
355,5.115,43.07,35.34765629909134,0.40999999083578587,False
356,5.13,43.06,36.97361191159223,0.42999999038875103,False
357,5.145,43.05,38.601338607339535,0.42999999038875103,False
358,5.16,43.04,40.23062141338401,0.40999999083578587,False
359,5.16,43.03,41.09390496949222,0.41999999061226845,False
360,4.845,43.32,0.0,11.429999744519591,True
361,4.86,43.31,1.6468443367701215,12.959999710321426,True
362,4.875,43.3,3.293688673540243,21.33999952301383,True
363,4.89,43.29,4.940533010310364,20.56999954022467,True
364,4.905,43.28,6.587377347080486,20.17999954894185,True
365,4.92,43.27,8.234221683850608,17.709999604150653,False
366,4.935,43.26,9.881066020620729,15.239999659359455,False
367,4.95,43.25,11.527910357390851,13.189999705180526,True
368,4.965,43.24,13.174754694160972,11.469999743625522,True
369,4.98,43.23,14.821599030931095,10.619999762624502,True
370,4.995,43.22,16.468443367701216,9.299999792128801,True
371,5.01,43.21,18.11528770447134,7.339999835938215,True
372,5.025,43.2,19.762132041241458,6.07999986410141,True
373,5.04,43.19,21.40897637801158,5.519999876618385,True
374,5.055,43.18,23.055820714781703,4.969999888911843,True
375,5.07,43.17,24.702665051551822,4.489999899640679,True
376,5.085,43.16,26.349509388321945,4.029999909922481,False
377,5.1,43.15,27.996353725092067,3.249999927356839,False
378,5.115,43.14,29.64319806186219,2.6699999403208494,False
379,5.13,43.13,31.29004239863231,2.299999948590994,False
380,5.145,43.12,32.93688673540243,1.5499999653548002,False
381,5.16,43.11,34.583731072172554,1.029999976977706,False
382,5.175,43.1,36.23057540894268,0.8099999818950891,False
383,5.19,43.09,37.87741974571279,0.7199999839067459,False
384,5.205,43.08,39.524264082482915,0.6099999863654375,False
385,5.22,43.07,41.17110841925304,0.549999987706542,False
386,5.235,43.06,42.81795275602316,0.4899999890476465,False
387,5.25,43.05,44.46479709279328,0.4499999899417162,False
388,5.265,43.04,46.111641429563406,0.3899999912828207,False
389,5.28,43.03,47.75848576633353,0.3299999926239252,False
390,4.845,43.32,0.0,11.429999744519591,True
391,4.86,43.31,1.6468443367701215,12.959999710321426,True
392,4.875,43.3,3.293688673540243,21.33999952301383,True
393,4.89,43.29,4.940533010310364,20.56999954022467,True
394,4.905,43.29,5.896756339239931,17.009999619796872,True
395,4.92,43.28,7.531084178024184,17.749999603256583,False
396,4.935,43.27,9.169891766411952,16.079999640583992,False
397,4.95,43.26,10.81114210701334,13.829999690875411,True
398,4.965,43.26,11.793512678479862,11.639999739825726,False
399,4.98,43.25,13.426311190053402,10.449999766424298,True
400,4.995,43.24,15.062168356048367,8.999999798834324,True
401,5.01,43.23,16.70018537438552,7.4299998339265585,True
402,5.025,43.23,17.690269017719796,6.019999865442514,False
403,5.04,43.22,19.3224715317827,5.309999881312251,True
404,5.055,43.21,20.95696511456066,4.679999895393848,True
405,5.07,43.2,22.59325253407255,4.149999907240272,True
406,5.085,43.2,23.587025356959725,3.9599999114871025,False
407,5.1,43.19,25.218910576582907,3.5599999204277992,True
