,SOURCE,SITE,LONGITUDE,LATITUDE,REGION,zone_pretty
382,REPHY,Indre - 44 L015 (148000),-1.6745985245,47.1952990276,SOUTHERN_BRITTANY,S. Brittany
385,REPHY,Bois de la Chaise large,-2.199438,47.019077,SOUTHERN_BRITTANY,S. Brittany
386,REPHY,Coupelasse large,-2.0608516,47.04212,SOUTHERN_BRITTANY,S. Brittany
387,REPHY,Yeu large,-2.3574691522,46.7737210278,SOUTHERN_BRITTANY,S. Brittany
388,REPHY,Large pointe grosse terre,-2.040599,46.632903,SOUTHERN_BRITTANY,S. Brittany
389,REPHY,Vert Bois 2,-1.290219444,45.84061389,BAY_OF_BISCAY,Bay of Biscay
390,REPHY,Pont du Brault - S86,-1.0824814263,46.3169696498,BAY_OF_BISCAY,Bay of Biscay
391,REPHY,Nord Saumonards,-1.2778828451,46.00594685,BAY_OF_BISCAY,Bay of Biscay
392,REPHY,Les Fontenelles,-1.1111240789,45.9759963468,BAY_OF_BISCAY,Bay of Biscay
393,REPHY,Côte Sauvage,-1.280463889,45.72652222,BAY_OF_BISCAY,Bay of Biscay
394,REPHY,La Palmyre,-1.168833,45.659108335,BAY_OF_BISCAY,Bay of Biscay
407,REPHY,Amont pont du Guily - 29BE07,-3.6498471132569,47.8227680547174,SOUTHERN_BRITTANY,S. Brittany
410,REPHY,Basse Michaud,-2.5833333333,47.2291666667,SOUTHERN_BRITTANY,S. Brittany
430,REPHY,Sète mer,3.7006861111,43.3892333,GULF_OF_LION,Gulf of Lion
431,REPHY,Le Grau du Roi,4.0933773495,43.5283110091,GULF_OF_LION,Gulf of Lion
432,REPHY,Espiguette,4.115774666666667,43.4983155,GULF_OF_LION,Gulf of Lion
433,REPHY,Agde,3.5209328718,43.2589662754,GULF_OF_LION,Gulf of Lion
434,REPHY,Aigues-Mortes,4.07380004023335,43.5404998994166,GULF_OF_LION,Gulf of Lion
435,REPHY,Filières des Aresquiers,3.85573,43.44318,GULF_OF_LION,Gulf of Lion
436,REPHY,Bouzigues (a),3.6642597429642856,43.436953268864286,GULF_OF_LION,Gulf of Lion
437,REPHY,Marseillan (a),3.55397449344375,43.36504962005625,GULF_OF_LION,Gulf of Lion
438,REPHY,Marseillan large,3.5563700817,43.3566353691,GULF_OF_LION,Gulf of Lion
439,REPHY,Mourre-Blanc large,3.5970366659,43.4034701042,GULF_OF_LION,Gulf of Lion
440,REPHY,Bouzigues (c),3.6497037463,43.4361379903,GULF_OF_LION,Gulf of Lion
441,REPHY,Port de Loupian (b),3.6382035945,43.4323044612,GULF_OF_LION,Gulf of Lion
442,REPHY,Mèze zone a,3.6253701425,43.4253041845,GULF_OF_LION,Gulf of Lion
443,REPHY,Mèze zone b,3.5855365732,43.3964698409,GULF_OF_LION,Gulf of Lion
444,REPHY,Montpenèdre (b),3.5713698831,43.3829694125,GULF_OF_LION,Gulf of Lion
445,REPHY,Mèze lagunage,3.5935363812,43.4151369857,GULF_OF_LION,Gulf of Lion
446,REPHY,Roquerols,3.6702042649,43.4296380535,GULF_OF_LION,Gulf of Lion
447,REPHY,Thau - Crique de l'Angle,3.6705372762,43.447305102,GULF_OF_LION,Gulf of Lion
448,REPHY,Etang du Prévost,3.9096125,43.5211195,GULF_OF_LION,Gulf of Lion
449,REPHY,Ingril sud,3.7738728247,43.4361392155,GULF_OF_LION,Gulf of Lion
450,REPHY,Rousty,4.494486,43.457109,GULF_OF_LION,Gulf of Lion
451,REPHY,Stes Maries 5,4.4432190083,43.4493127255,GULF_OF_LION,Gulf of Lion
452,REPHY,Courbe,4.695475,43.3486185,GULF_OF_LION,Gulf of Lion
453,REPHY,Ponant embouchure,4.1007102945,43.5569783674,GULF_OF_LION,Gulf of Lion
454,REPHY,Comète,4.2397147006,43.466144435,GULF_OF_LION,Gulf of Lion
455,REPHY,Carteau 14,4.8792288294,43.38281552,GULF_OF_LION,Gulf of Lion
456,REPHY,Antoine,4.8457282509,43.378148429,GULF_OF_LION,Gulf of Lion
457,REPHY,Carteau 1,4.8745619704,43.3883155936,GULF_OF_LION,Gulf of Lion
458,REPHY,Carteau 64,4.9012293407,43.3786489758,GULF_OF_LION,Gulf of Lion
459,REPHY,Grand Rhône,4.8026672593,43.3858331785,GULF_OF_LION,Gulf of Lion
460,REPHY,Anse de Carteau 2,4.88429,43.37678,GULF_OF_LION,Gulf of Lion
461,REPHY,Fos,4.95058036612352,43.3506497686582,GULF_OF_LION,Gulf of Lion
462,REPHY,Jai,5.1634005918,43.4129855772,GULF_OF_LION,Gulf of Lion
463,REPHY,Varage,5.0225634318,43.4694854461,GULF_OF_LION,Gulf of Lion
464,REPHY,Chamas,5.0733967631,43.5251538132,GULF_OF_LION,Gulf of Lion
465,REPHY,Vitrolles,5.2277342598,43.4653206647,GULF_OF_LION,Gulf of Lion
466,REPHY,Berre sud,5.1063326897,43.4185001478,GULF_OF_LION,Gulf of Lion
467,REPHY,Couronne,5.0530666765,43.3238159226,GULF_OF_LION,Gulf of Lion
468,REPHY,18A - Carry,5.1591671497,43.3220002361,GULF_OF_LION,Gulf of Lion
469,REPHY,Endoume,5.2916662264,43.2416664416,GULF_OF_LION,Gulf of Lion
470,REPHY,Bain des Dames,5.3621676597,43.2400004127,GULF_OF_LION,Gulf of Lion
471,REPHY,Morgiret - Frioul,5.3048324181,43.2828324539,GULF_OF_LION,Gulf of Lion
472,REPHY,Endoume plage,5.3497733627,43.2800761576,GULF_OF_LION,Gulf of Lion
475,REPHY,Cortiou,5.380869,43.1964081673707,GULF_OF_LION,Gulf of Lion
511,REPHY,Marseillan plage-est,3.5617219444444443,43.32171305555556,GULF_OF_LION,Gulf of Lion
512,REPHY,Le Grand Travers Ouest,4.036375335985714,43.55602550350714,GULF_OF_LION,Gulf of Lion
