source,site,lon,lat,zone
REPHY,Kervel,-4.285148,48.115657,NA
REPHY,Morgat 1,-4.500556445,48.2108258258,NA
REPHY,Morgat 2,-4.4942233006,48.2219928477,NA
REPHY,Rosmeur,-4.3188833929,48.094491787,NA
REPHY,Tronoen,-4.349061,47.8526,SOUTHERN_BRITTANY
REPHY,Treguennec Nord,-4.3672120003,47.884986022,SOUTHERN_BRITTANY
REPHY,La Torche,-4.3492104385,47.8381517522,SOUTHERN_BRITTANY
REPHY,Les Glénan,-3.9867012004,47.7333201782,SOUTHERN_BRITTANY
REPHY,Moutons,-4.0287032344,47.7821542102,SOUTHERN_BRITTANY
REPHY,Le Letty,-4.0763729685,47.8661557093,SOUTHERN_BRITTANY
REPHY,Ile Chevalier,-4.176366,47.855182,SOUTHERN_BRITTANY
REPHY,Penfoulic,-3.98165,47.8929,SOUTHERN_BRITTANY
REPHY,Moulin Mer,-3.8863693247,47.8574910978,SOUTHERN_BRITTANY
REPHY,Le Scoré,-3.9542043536000002,47.8754907328,SOUTHERN_BRITTANY
REPHY,Kerist,-3.9787053971,47.8983243376,SOUTHERN_BRITTANY
REPHY,Beg Meil,-3.9877043626,47.8529897774,SOUTHERN_BRITTANY
REPHY,Le Henant,-3.7563664102,47.835825445,SOUTHERN_BRITTANY
REPHY,L'Ile,-3.7006982393,47.8168256381,SOUTHERN_BRITTANY
REPHY,Trévignon,-3.8322000749,47.7963235679,SOUTHERN_BRITTANY
REPHY,Poulguin,-3.7508657555,47.8146583213,SOUTHERN_BRITTANY
REPHY,Merrien port,-3.6473630429,47.782492091500004,SOUTHERN_BRITTANY
REPHY,Ile Kerner,-3.3161882905,47.702660712,SOUTHERN_BRITTANY
REPHY,Mané Hellec,-3.1741855991,47.6986622885,SOUTHERN_BRITTANY
REPHY,Port Etel,-3.2071851116,47.6564941943,SOUTHERN_BRITTANY
REPHY,Kerdonis,-3.0556734407,47.3074874435,SOUTHERN_BRITTANY
REPHY,Citadelle,-3.1526762482,47.3488206451,SOUTHERN_BRITTANY
REPHY,Men er Roue,-3.093748,47.534765,SOUTHERN_BRITTANY
REPHY,Le Lac,-3.026680688,47.6126619059,SOUTHERN_BRITTANY
REPHY,Méaban,-2.934365,47.513917,SOUTHERN_BRITTANY
REPHY,Les Boureseaux,-2.9366775082,47.5528281583,SOUTHERN_BRITTANY
REPHY,Karrec Rouz Eau,-2.98516,47.5664,SOUTHERN_BRITTANY
REPHY,Kerivaud,-2.9458449782,47.5776619941,SOUTHERN_BRITTANY
REPHY,Le Perick,-2.88243,47.59322,SOUTHERN_BRITTANY
REPHY,Creizic,-2.86971,47.58175,SOUTHERN_BRITTANY
REPHY,Creizic 2,-2.8663435558,47.5789962919,SOUTHERN_BRITTANY
REPHY,La Turballe,-2.515831229,47.3468280253,SOUTHERN_BRITTANY
REPHY,Piriac sémaphore,-2.5579993257,47.3728281703,SOUTHERN_BRITTANY
REPHY,Le Marescle,-2.4971671438,47.4628310812,SOUTHERN_BRITTANY
REPHY,Ouest Loscolo,-2.538268,47.457596,SOUTHERN_BRITTANY
REPHY,Port au Loup,-2.5353325654,47.3856620807,SOUTHERN_BRITTANY
